Target.Species,Detection,Location,Historical.site?,Habitat,Date,Month,Record,Tracks,Observers,Observer.number,Day.effortId,Start,End,Duration.mins,Duration.x.Observers.mins,Note
Aquilegia formosa,0,Hunterston Farm,no,mixed forest,2023-05-27,May,observations,,"Andy Taggart-Smith, Frank Lomer, Heidi Guest, Tyler Innes, Edward Sun",5,,9:29:00,13:43:00,254,1270,"search efforts divided and allocated based on proportional representation of habitats at Hunterston Farm (a quarter to mixed forest, a quarter to ruderal, and half to coastal woodland)"
Aquilegia formosa,0,Hunterston Farm,no,mixed forest,2023-05-27,May,observations,,Jackson W.F. Chu,1,,9:43:00,15:26:00,343,343,"search efforts divided and allocated based on proportional representation of habitats at Hunterston Farm (a quarter to mixed forest, a quarter to ruderal, and half to coastal woodland)"
Aquilegia formosa,0,Hunterston Farm,no,mixed forest,2023-05-27,May,observations,,Spencer Shields,1,,9:48:00,13:59:00,251,251,"search efforts divided and allocated based on proportional representation of habitats at Hunterston Farm (a quarter to mixed forest, a quarter to ruderal, and half to coastal woodland)"
Aquilegia formosa,0,Bluff Park,no,woodland / rock outcrop,2023-05-28,May,observations,,"Andy Taggart-Smith, Tyler Innes",2,,9:30:00,14:15:00,285,570,
Aquilegia formosa,0,Morgan Road,no ,mixed forest,2023-09-11,September,observations,,Caitlin Robinson,1,,12:36:00,12:45:00,9,9,
Castilleja attenuata,1,Mount Galiano,no,woodland / rock outcrop,2020-04-09,April,observations,,Andrew Simon,1,,11:28:00,12:45:00,77,77,
Castilleja attenuata,0,Mount Sutil,yes,woodland / rock outcrop,2020-04-12,April,track + observations,yes,Andrew Simon,1,,13:58:00,15:25:00,87,87,
Castilleja attenuata,0,Bluff Park,yes,"coastal woodland / bluff, mixed forest",2020-04-24,April,observations,,Andrew Simon,1,,13:17:00,16:14:00,177,177,
Castilleja attenuata,0,Bodega Ridge,no,woodland / rock outcrop,2021-04-15,April,track + observations,yes,"Ryan Batten, Andrew Simon",2,,9:43:00,10:45:00,62,124,Time recorded in field (not from time-stamped iNat obs)
Castilleja attenuata,0,Mount Galiano,no,woodland / rock outcrop,2021-04-15,April,track + observations,yes,"Ryan Batten, Andrew Simon",2,,14:49:00,15:43:00,54,108,
Castilleja attenuata,0,Mount Sutil,yes,woodland / rock outcrop,2021-04-15,April,track + observations,yes,"Ryan Batten, Andrew Simon",2,,11:34:00,14:06:00,152,304,
Castilleja attenuata,0,Mount Sutil,yes,coastal woodland / bluff,2021-05-01,May,track + observations,yes,Andrew Simon,1,,15:40:00,17:55:00,135,135,30 hours total allocated to Mount Sutil in May 2021; search effort tracked based on iNat obs for some days; the remainder allocated and split for days where search efford is evidenced based on tracks
Castilleja attenuata,0,Mount Sutil,yes,woodland / rock outcrop,2021-05-03,May,track + observations,yes,Andrew Simon,1,,9:51:00,17:02:00,430,430,30 hours total allocated to Mount Sutil in May 2021; search effort tracked based on iNat obs for some days; the remainder allocated and split for days where search efford is evidenced based on tracks
Castilleja attenuata,1,Mount Sutil,yes,woodland / rock outcrop,2021-05-05,May,track + observations,yes,Andrew Simon,1,,13:47:00,16:53:00,271,271,30 hours total allocated to Mount Sutil in May 2021; search effort tracked based on iNat obs for some days; the remainder allocated and split for days where search efford is evidenced based on tracks
Castilleja attenuata,0,Mount Sutil,yes,woodland / rock outcrop,2021-05-12,May,track,yes,Andrew Simon,1,,,,480,480,30 hours total allocated to Mount Sutil in May 2021; search effort tracked based on iNat obs for some days; the remainder allocated and split for days where search efford is evidenced based on tracks
Castilleja attenuata,0,Mount Sutil,yes,woodland / rock outcrop,2021-05-14,May,track,yes,Andrew Simon,1,,,,485,485,30 hours total allocated to Mount Sutil in May 2021; search effort tracked based on iNat obs for some days; the remainder allocated and split for days where search efford is evidenced based on tracks
Castilleja attenuata,0,Mount Sutil,yes,woodland / rock outcrop,2021-06-19,June,track + observations,yes,Andrew Simon,1,,16:19:00,17:06:00,47,47,
Castilleja attenuata,0,"Lover's Leap, Bodega Ridge Provincial Park",no,woodland / rock outcrop,2022-04-07,April,observations,,Caitlin Robinson,1,,14:05:00,14:32:00,27,27,
Castilleja attenuata,0,Collinson Point Provincial Park,no,woodland / rock outcrop,2022-04-09,April,track + observations,yes,Andrew Simon,1,,15:57:00,17:32:00,95,95,
Castilleja attenuata,1,Mount Galiano,no,woodland / rock outcrop,2022-04-15,April,observations,,Andrew Simon,1,,12:27:00,17:50:00,323,323,
Castilleja attenuata,1,Collinson Point Provincial Park,no,woodland / rock outcrop,2022-04-17,April,track + observations,yes,Andrew Simon,1,,15:10:00,15:55:00,45,45,
Castilleja attenuata,1,Mount Sutil,yes,woodland / rock outcrop,2022-04-30,April,observations,,"Andrew Simon, Jack Bindernagel",2,,10:05:00,11:34:00,89,178,"Effort on Mt. Sutil from this date split between observations and GPS tracks, to include observations from the first part of the morning when the GPS was not on."
Castilleja attenuata,1,Mount Sutil,yes,woodland / rock outcrop,2022-04-30,April,track + observations,yes,"Andrew Simon, Jack Bindernagel",2,,11:35:00,18:56:00,441,882,"Effort on Mt. Sutil from this date split between observations and GPS tracks, to include observations from the first part of the morning when the GPS was not on."
Castilleja attenuata,0,Matthews Point Regional Park,no,woodland / rock outcrop,2022-05-01,May,track + observations,yes,"Andrew Simon, Jack Bindernagel",2,,12:40:00,15:08:00,148,296,
Castilleja attenuata,0,Bodega Ridge,no,woodland / rock outcrop,2022-05-07,May,track + observations,yes,"Andrew Simon, Adam Huggins",2,,13:56:00,15:49:00,113,226,about a quarter of the time spent searching in potential habitat for Perideridia; rest of the time spent searching for species expected to occur in rock outcrop / woodland habitat
Castilleja attenuata,0,Collinson Point Provincial Park,no,woodland / rock outcrop,2022-05-11,May,track + observations,yes,"Andrew Simon, Ryan Batten",2,,13:37:00,14:10:00,33,66,
Castilleja attenuata,1,Mount Galiano,no,woodland / rock outcrop,2022-05-11,May,track + observations,yes,"Andrew Simon, Ryan Batten",2,,11:01:00,13:13:00,132,264,
Castilleja attenuata,0,Mount Sutil,yes,woodland / rock outcrop,2022-05-11,May,track + observations,yes,"Andrew Simon, Ryan Batten",2,,9:25:00,10:48:00,83,166,
Castilleja attenuata,1,Mount Galiano,no,woodland / rock outcrop,2022-06-05,June,track + observations,yes,"Andrew Simon, Shauna Anderson",2,,9:11:00,10:28:00,77,154,
Castilleja attenuata,0,Bluff Park,yes,woodland / rock outcrop,2022-06-14,June,track,yes,Frank Lomer,1,1,,,21,21,Frank Lomer put in an eight hour day; those hours divided into habitat types based on tracks; additional time searching together later in the day allocated based on iNat obs
Castilleja attenuata,0,Mount Sutil,yes,woodland / rock outcrop,2023-05-16,May,observations,,Adam Huggins,1,,12:13:00,15:12:00,179,179,
Castilleja attenuata,0,Mount Sutil,yes,woodland / rock outcrop,2023-05-24,May,observations,,"Adam Huggins, Myung Jin (John) Kang, Heather Magusin",3,,10:53:00,18:43:00,470,1410,
Castilleja attenuata,0,Mount Sutil,yes,woodland / rock outcrop,2023-05-25,May,observations,,"Adam Huggins, Myung Jin (John) Kang, Heather Magusin",3,,7:50:00,16:28:00,518,1554,
Castilleja attenuata,0,Bodega Ridge,no,woodland / rock outcrop,2023-05-26,May,observations,,Joan Septembre,1,,17:41:00,19:14:00,93,93,
Castilleja attenuata,0,Gustin Road (nearby),no,woodland / rock outcrop,2023-05-27,May,"observations, notes from Frank",,"Frank Lomer, Heidi Guest, Edward Sun, Andy Taggart-Smith, Tyler Innes",5,,14:00:00,17:00:00,180,900,"Frank recalls searching for 3 hours (about double the time recorded based on logged iNat obs); hours adjusted to reflect Frank's estimated search effort at this site, then divided between habitat types / target species"
Castilleja attenuata,0,Mount Sutil,yes,woodland / rock outcrop,2023-05-27,May,observations,,Andrew Simon,1,,15:14:00,17:50:00,156,156,
Castilleja attenuata,0,Bluff Park,yes,woodland / rock outcrop,2023-05-28,May,observations,,"Andy Taggart-Smith, Tyler Innes",2,,9:30:00,14:15:00,285,570,
Castilleja attenuata,0,Mount Sutil,yes,woodland / rock outcrop,2023-05-31,May,observations,,"Myung Jin (John) Kang, Heather Magusin",2,,11:05:00,14:05:00,180,360,
Castilleja attenuata,0,Mount Sutil,yes,woodland / rock outcrop,2023-06-07,June,observations,,"Adam Huggins, Myung Jin (John) Kang",2,,8:53:00,14:38:00,345,690,
Crassula connata,0,Bellhouse Park,yes,coastal woodland / vernal pools,2020-03-21,March,observations,,Andrew Simon,1,,12:53:00,13:41:00,48,48,
Crassula connata,0,Mount Galiano,no,woodland / rock outcrop,2020-04-09,April,observations,,Andrew Simon,1,,11:28:00,12:45:00,77,77,
Crassula connata,0,Bellhouse Park,yes,coastal woodland / vernal pools,2020-04-11,April,observations,,Andrew Simon,1,,16:06:00,16:41:00,35,35,
Crassula connata,0,Mount Sutil,no,woodland / rock outcrop,2020-04-12,April,track + observations,yes,Andrew Simon,1,,13:58:00,15:25:00,87,87,
Crassula connata,0,Sticks West,no,coastal woodland / vernal pools,2020-04-19,April,observations,,Andrew Simon,1,,11:29:00,12:29:00,60,60,
Crassula connata,0,Bluff Park,no,"coastal woodland / bluff, mixed forest",2020-04-24,April,observations,,Andrew Simon,1,,13:17:00,16:14:00,177,177,
Crassula connata,0,Sticks West,no,coastal woodland / vernal pools,2020-05-04,May,observations,,Andrew Simon,1,,17:47:00,18:31:00,44,44,
Crassula connata,0,Bellhouse Park,yes,coastal woodland / vernal pools,2020-05-19,May,observations,,Andrew Simon,1,,16:50:00,18:18:00,88,88,
Crassula connata,0,Montague Harbour Marine Provincial Park,no,coastal woodland / bluff,2020-05-31,May,observations,,Andrew Simon,1,,18:44:00,19:27:00,43,43,
Crassula connata,0,Bellhouse Park,yes,coastal woodland / vernal pools,2021-04-15,April,track + observations,yes,"Ryan Batten, Andrew Simon",2,,16:39:00,17:25:00,46,92,
Crassula connata,0,Bodega Ridge,no,woodland / rock outcrop,2021-04-15,April,track + observations,yes,"Ryan Batten, Andrew Simon",2,,9:43:00,10:45:00,62,124,Time recorded in field (not from time-stamped iNat obs)
Crassula connata,0,Mount Galiano,no,woodland / rock outcrop,2021-04-15,April,track + observations,yes,"Ryan Batten, Andrew Simon",2,,14:49:00,15:43:00,54,108,
Crassula connata,0,Mount Sutil,no,woodland / rock outcrop,2021-04-15,April,track + observations,yes,"Ryan Batten, Andrew Simon",2,,11:34:00,14:06:00,152,304,
Crassula connata,0,Mount Sutil,no,coastal woodland / bluff,2021-05-01,May,track + observations,yes,Andrew Simon,1,,15:40:00,17:55:00,135,135,30 hours total allocated to Mount Sutil in May 2021; search effort tracked based on iNat obs for some days; the remainder allocated and split for days where search efford is evidenced based on tracks
Crassula connata,0,Mount Sutil,no,woodland / rock outcrop,2021-05-03,May,track + observations,yes,Andrew Simon,1,,9:51:00,17:02:00,430,430,30 hours total allocated to Mount Sutil in May 2021; search effort tracked based on iNat obs for some days; the remainder allocated and split for days where search efford is evidenced based on tracks
Crassula connata,0,Mount Sutil,no,woodland / rock outcrop,2021-05-05,May,track + observations,yes,Andrew Simon,1,,13:47:00,16:53:00,271,271,30 hours total allocated to Mount Sutil in May 2021; search effort tracked based on iNat obs for some days; the remainder allocated and split for days where search efford is evidenced based on tracks
Crassula connata,0,Sticks West,no,coastal woodland / vernal pools,2021-05-05,May,observations,,Andrew Simon,1,,19:03:00,19:35:00,32,32,
Crassula connata,0,Mount Sutil,no,woodland / rock outcrop,2021-05-12,May,track,yes,Andrew Simon,1,,,,480,480,30 hours total allocated to Mount Sutil in May 2021; search effort tracked based on iNat obs for some days; the remainder allocated and split for days where search efford is evidenced based on tracks
Crassula connata,0,Mount Sutil,no,woodland / rock outcrop,2021-05-14,May,track,yes,Andrew Simon,1,,,,485,485,30 hours total allocated to Mount Sutil in May 2021; search effort tracked based on iNat obs for some days; the remainder allocated and split for days where search efford is evidenced based on tracks
Crassula connata,0,Georgeson Bay Road,no,coastal woodland / bluff,2022-03-20,March,observations,,Andrew Simon,1,,17:13:00,17:57:00,44,44,
Crassula connata,0,Bellhouse Park,yes,coastal woodland / vernal pools,2022-03-26,March,observations,,Caitlin Robinson,1,,13:43:00,14:09:00,26,26,
Crassula connata,0,Bluff Park,no,woodland / rock outcrop,2022-03-26,March,observations,,Caitlin Robinson,1,,14:40:00,14:56:00,16,16,
Crassula connata,0,Dionisio Point Provincial Park,no,coastal woodland / bluff,2022-03-30,March,observations,,Caitlin Robinson,1,,17:51:00,19:00:00,69,69,
Crassula connata,0,Sticks West,no,coastal woodland / vernal pools,2022-04-01,April,observations,,"Caitlin Robinson, Andrew Simon",2,,15:03:00,16:50:00,107,214,
Crassula connata,0,Dionisio Point Provincial Park,no,coastal woodland / bluff,2022-04-03,April,observations,,Caitlin Robinson,1,,15:00:00,15:46:00,46,46,
Crassula connata,0,"Lover's Leap, Bodega Ridge Provincial Park",no,woodland / rock outcrop,2022-04-07,April,observations,,Caitlin Robinson,1,,14:05:00,14:32:00,27,27,
Crassula connata,0,Bellhouse Park,yes,coastal woodland / vernal pools,2022-04-08,April,track,yes,Andrew Simon,1,,13:17:00,13:52:00,35,35,
Crassula connata,0,Bellhouse Park,yes,coastal woodland / vernal pools,2022-04-08,April,observations,,Caitlin Robinson,1,,12:00:00,13:08:00,68,68,
Crassula connata,0,Bellhouse Park,yes,coastal woodland / vernal pools,2022-04-08,April,observations,,"Caitlin Robinson, Andrew Simon",2,,11:22:00,12:00:00,38,76,
Crassula connata,0,Collinson Point Provincial Park,no,woodland / rock outcrop,2022-04-09,April,track + observations,yes,Andrew Simon,1,,15:57:00,17:32:00,95,95,
Crassula connata,0,Sticks West,no,coastal woodland / vernal pools,2022-04-10,April,observations,,Andrew Simon,1,,13:39:00,14:24:00,45,45,
Crassula connata,0,Taylor Cove,no,coastal woodland / vernal pools,2022-04-10,April,observations,,Andrew Simon,1,,12:24:00,13:33:00,69,69,
Crassula connata,0,Mount Galiano,no,woodland / rock outcrop,2022-04-15,April,observations,,Andrew Simon,1,,12:27:00,17:50:00,323,323,
Crassula connata,0,Collinson Point Provincial Park,no,woodland / rock outcrop,2022-04-17,April,track + observations,yes,Andrew Simon,1,,15:10:00,15:55:00,45,45,
Crassula connata,0,Mount Sutil,no,woodland / rock outcrop,2022-04-30,April,observations,,"Andrew Simon, Jack Bindernagel",2,,10:05:00,11:34:00,89,178,"Effort on Mt. Sutil from this date split between observations and GPS tracks, to include observations from the first part of the morning when the GPS was not on."
Crassula connata,0,Mount Sutil,no,woodland / rock outcrop,2022-04-30,April,track + observations,yes,"Andrew Simon, Jack Bindernagel",2,,11:35:00,18:56:00,441,882,"Effort on Mt. Sutil from this date split between observations and GPS tracks, to include observations from the first part of the morning when the GPS was not on."
Crassula connata,0,Matthews Point Regional Park,no,woodland / rock outcrop,2022-05-01,May,track + observations,yes,"Andrew Simon, Jack Bindernagel",2,,12:40:00,15:08:00,148,296,
Crassula connata,0,Sticks West,no,coastal woodland / vernal pools,2022-05-01,May,observations,,"Andrew Simon, Jack Bindernagel",2,,10:42:00,12:17:00,95,190,
Crassula connata,0,Bodega Ridge,no,woodland / rock outcrop,2022-05-07,May,track + observations,yes,"Andrew Simon, Adam Huggins",2,,13:56:00,15:49:00,113,226,about a quarter of the time spent searching in potential habitat for Perideridia; rest of the time spent searching for species expected to occur in rock outcrop / woodland habitat
Crassula connata,0,Collinson Point Provincial Park,no,woodland / rock outcrop,2022-05-11,May,track + observations,yes,"Andrew Simon, Ryan Batten",2,,13:37:00,14:10:00,33,66,
Crassula connata,0,Mount Galiano,no,woodland / rock outcrop,2022-05-11,May,track + observations,yes,"Andrew Simon, Ryan Batten",2,,11:01:00,13:13:00,132,264,
Crassula connata,0,Mount Sutil,no,woodland / rock outcrop,2022-05-11,May,track + observations,yes,"Andrew Simon, Ryan Batten",2,,9:25:00,10:48:00,83,166,
Crassula connata,0,Bellhouse Park,yes,coastal woodland / vernal pools,2022-05-29,May,observations,,Andrew Simon,1,,9:18:00,10:52:00,94,94,
Crassula connata,0,Sticks West,no,coastal woodland / vernal pools,2022-05-29,May,observations,,"Andrew Simon, Lauren Magner",2,,17:15:00,18:00:00,45,90,
Crassula connata,0,Bellhouse Park,yes,coastal woodland / vernal pools,2023-04-16,April,observations,,Andrew Simon,1,,9:21:00,9:54:00,33,33,
Crassula connata,0,Mount Sutil,no,woodland / rock outcrop,2023-05-16,May,observations,,Adam Huggins,1,,12:13:00,15:12:00,179,179,
Crassula connata,0,Mount Sutil,no,woodland / rock outcrop,2023-05-24,May,observations,,"Adam Huggins, Myung Jin (John) Kang, Heather Magusin",3,,10:53:00,18:43:00,470,1410,
Crassula connata,0,Mount Sutil,no,woodland / rock outcrop,2023-05-25,May,observations,,"Adam Huggins, Myung Jin (John) Kang, Heather Magusin",3,,7:50:00,16:28:00,518,1554,
Crassula connata,0,Bodega Ridge,no,woodland / rock outcrop,2023-05-26,May,observations,,Joan Septembre,1,,17:41:00,19:14:00,93,93,
Crassula connata,0,Hunterston Farm,no,woodland / rock outcrop,2023-05-27,May,observations,,Andrew Simon,1,,9:44:00,12:32:00,168,168,"search efforts divided and allocated based on proportional representation of habitats at Hunterston Farm (a quarter to mixed forest, a quarter to ruderal, and half to coastal woodland)"
Crassula connata,0,Hunterston Farm,no,woodland / rock outcrop,2023-05-27,May,observations,,"Andy Taggart-Smith, Frank Lomer, Heidi Guest, Tyler Innes, Edward Sun",5,,9:29:00,13:43:00,254,1270,"search efforts divided and allocated based on proportional representation of habitats at Hunterston Farm (a quarter to mixed forest, a quarter to ruderal, and half to coastal woodland)"
Crassula connata,0,Hunterston Farm,no,woodland / rock outcrop,2023-05-27,May,observations,,Jackson W.F. Chu,1,,9:43:00,15:26:00,343,343,"search efforts divided and allocated based on proportional representation of habitats at Hunterston Farm (a quarter to mixed forest, a quarter to ruderal, and half to coastal woodland)"
Crassula connata,0,Hunterston Farm,no,woodland / rock outcrop,2023-05-27,May,observations,,Spencer Shields,1,,9:48:00,13:59:00,251,251,"search efforts divided and allocated based on proportional representation of habitats at Hunterston Farm (a quarter to mixed forest, a quarter to ruderal, and half to coastal woodland)"
Crassula connata,0,Mount Sutil,no,woodland / rock outcrop,2023-05-27,May,observations,,Andrew Simon,1,,15:14:00,17:50:00,156,156,
Crassula connata,0,Bluff Park,no,woodland / rock outcrop,2023-05-28,May,observations,,"Andy Taggart-Smith, Tyler Innes",2,,9:30:00,14:15:00,285,570,
Crassula connata,0,Mount Sutil,no,woodland / rock outcrop,2023-05-31,May,observations,,"Myung Jin (John) Kang, Heather Magusin",2,,11:05:00,14:05:00,180,360,
Lepidium virginicum,0,Mount Galiano,no,woodland / rock outcrop,2020-04-09,April,observations,,Andrew Simon,1,,11:28:00,12:45:00,77,77,
Lepidium virginicum,0,Mount Sutil,yes,woodland / rock outcrop,2020-04-12,April,track + observations,yes,Andrew Simon,1,,13:58:00,15:25:00,87,87,
Lepidium virginicum,0,Sticks West,no,coastal woodland / vernal pools,2020-04-19,April,observations,,Andrew Simon,1,,11:29:00,12:29:00,60,60,
Lepidium virginicum,0,Bluff Park,no,"coastal woodland / bluff, mixed forest",2020-04-24,April,observations,,Andrew Simon,1,,13:17:00,16:14:00,177,177,
Lepidium virginicum,0,Sticks West,no,coastal woodland / vernal pools,2020-05-04,May,observations,,Andrew Simon,1,,17:47:00,18:31:00,44,44,
Lepidium virginicum,1,Montague Harbour Marine Provincial Park,no,coastal woodland / bluff,2020-05-31,May,observations,,Andrew Simon,1,,18:44:00,19:27:00,43,43,
Lepidium virginicum,0,Sticks West,no,coastal woodland / vernal pools,2020-06-26,June,observations,,Andrew Simon,1,,11:05:00,11:29:00,24,24,
Lepidium virginicum,0,Dionisio Point Provincial Park,no,coastal woodland / bluff,2020-07-25,July,observations,,Caitlin Robinson,1,,15:45:00,15:50:00,5,5,
Lepidium virginicum,0,Montague Harbour Marine Provincial Park,no,coastal woodland / bluff,2020-08-11,August,observations,,Andrew Simon,1,,17:11:00,17:56:00,45,45,
Lepidium virginicum,0,Dionisio Point Provincial Park,no,coastal woodland / bluff,2020-08-15,August,observations,,Andrew Simon,1,,8:42:00,18:31:00,589,589,
Lepidium virginicum,0,Bodega Ridge,no,woodland / rock outcrop,2021-04-15,April,track + observations,yes,"Ryan Batten, Andrew Simon",2,,9:43:00,10:45:00,62,124,Time recorded in field (not from time-stamped iNat obs)
Lepidium virginicum,0,Mount Galiano,no,woodland / rock outcrop,2021-04-15,April,track + observations,yes,"Ryan Batten, Andrew Simon",2,,14:49:00,15:43:00,54,108,
Lepidium virginicum,0,Mount Sutil,yes,woodland / rock outcrop,2021-04-15,April,track + observations,yes,"Ryan Batten, Andrew Simon",2,,11:34:00,14:06:00,152,304,
Lepidium virginicum,0,Mount Sutil,yes,coastal woodland / bluff,2021-05-01,May,track + observations,yes,Andrew Simon,1,,15:40:00,17:55:00,135,135,30 hours total allocated to Mount Sutil in May 2021; search effort tracked based on iNat obs for some days; the remainder allocated and split for days where search efford is evidenced based on tracks
Lepidium virginicum,1,Mount Sutil,yes,woodland / rock outcrop,2021-05-03,May,track + observations,yes,Andrew Simon,1,,9:51:00,17:02:00,430,430,30 hours total allocated to Mount Sutil in May 2021; search effort tracked based on iNat obs for some days; the remainder allocated and split for days where search efford is evidenced based on tracks
Lepidium virginicum,0,Mount Sutil,yes,woodland / rock outcrop,2021-05-05,May,track + observations,yes,Andrew Simon,1,,13:47:00,16:53:00,271,271,30 hours total allocated to Mount Sutil in May 2021; search effort tracked based on iNat obs for some days; the remainder allocated and split for days where search efford is evidenced based on tracks
Lepidium virginicum,0,Sticks West,no,coastal woodland / vernal pools,2021-05-05,May,observations,,Andrew Simon,1,,19:03:00,19:35:00,32,32,
Lepidium virginicum,0,Mount Sutil,yes,woodland / rock outcrop,2021-05-12,May,track,yes,Andrew Simon,1,,,,480,480,30 hours total allocated to Mount Sutil in May 2021; search effort tracked based on iNat obs for some days; the remainder allocated and split for days where search efford is evidenced based on tracks
Lepidium virginicum,0,Mount Sutil,yes,woodland / rock outcrop,2021-05-14,May,track,yes,Andrew Simon,1,,,,485,485,30 hours total allocated to Mount Sutil in May 2021; search effort tracked based on iNat obs for some days; the remainder allocated and split for days where search efford is evidenced based on tracks
Lepidium virginicum,0,Mount Sutil,yes,woodland / rock outcrop,2021-06-19,June,track + observations,yes,Andrew Simon,1,,16:19:00,17:06:00,47,47,
Lepidium virginicum,1,Mount Galiano,no,woodland / rock outcrop,2021-07-01,July,observations,,Andrew Simon,1,,15:57:00,16:34:00,37,37,
Lepidium virginicum,0,Montague Harbour Marine Provincial Park,no,coastal woodland / bluff,2021-07-04,July,observations,,"Andrew Simon, Audrey Irvine-Broque",2,,13:51:00,14:57:00,66,132,
Lepidium virginicum,0,Bluff Park,no,woodland / rock outcrop,2022-03-26,March,observations,,Caitlin Robinson,1,,14:40:00,14:56:00,16,16,
Lepidium virginicum,0,Dionisio Point Provincial Park,no,coastal woodland / bluff,2022-03-30,March,observations,,Caitlin Robinson,1,,17:51:00,19:00:00,69,69,
Lepidium virginicum,0,Sticks West,no,coastal woodland / vernal pools,2022-04-01,April,observations,,"Caitlin Robinson, Andrew Simon",2,,15:03:00,16:50:00,107,214,
Lepidium virginicum,0,Dionisio Point Provincial Park,no,coastal woodland / bluff,2022-04-03,April,observations,,Caitlin Robinson,1,,15:00:00,15:46:00,46,46,
Lepidium virginicum,0,"Lover's Leap, Bodega Ridge Provincial Park",no,woodland / rock outcrop,2022-04-07,April,observations,,Caitlin Robinson,1,,14:05:00,14:32:00,27,27,
Lepidium virginicum,0,Collinson Point Provincial Park,no,woodland / rock outcrop,2022-04-09,April,track + observations,yes,Andrew Simon,1,,15:57:00,17:32:00,95,95,
Lepidium virginicum,0,Sticks West,no,coastal woodland / vernal pools,2022-04-10,April,observations,,Andrew Simon,1,,13:39:00,14:24:00,45,45,
Lepidium virginicum,0,Taylor Cove,no,coastal woodland / vernal pools,2022-04-10,April,observations,,Andrew Simon,1,,12:24:00,13:33:00,69,69,
Lepidium virginicum,0,Mount Galiano,no,woodland / rock outcrop,2022-04-15,April,observations,,Andrew Simon,1,,12:27:00,17:50:00,323,323,
Lepidium virginicum,0,Collinson Point Provincial Park,no,woodland / rock outcrop,2022-04-17,April,track + observations,yes,Andrew Simon,1,,15:10:00,15:55:00,45,45,
Lepidium virginicum,1,Mount Sutil,yes,woodland / rock outcrop,2022-04-30,April,observations,,"Andrew Simon, Jack Bindernagel",2,,10:05:00,11:34:00,89,178,"Effort on Mt. Sutil from this date split between observations and GPS tracks, to include observations from the first part of the morning when the GPS was not on."
